frame,timestamp,yaw,pitch,roll,label
109,3.6333333333333333,-0.31,-5.8,2.28,focused
110,3.6666666666666665,-1.73,-5.5,1.28,focused
111,3.7,-1.29,-5.26,0.73,focused
112,3.7333333333333334,-1.83,-5.94,0.07,focused
113,3.7666666666666666,-1.59,-6.27,-0.82,focused
114,3.8,-1.63,-6.99,-0.55,focused
115,3.8333333333333335,0.67,-6.28,-0.89,focused
116,3.8666666666666667,1.21,-6.39,-1.05,focused
117,3.9,0.68,-5.89,-1.26,focused
118,3.933333333333333,0.97,-4.1,-0.48,focused
119,3.966666666666667,2.09,-3.56,-0.91,focused
120,4.0,0.84,-4.07,-0.75,focused
121,4.033333333333333,0.08,-3.45,-0.44,focused
122,4.066666666666666,1.82,-3.07,1.34,focused
123,4.1,0.54,-3.46,1.52,focused
124,4.133333333333334,2.32,-4.36,1.26,focused
125,4.166666666666667,1.5,-5.65,0.88,focused
126,4.2,1.52,-5.57,0.79,focused
127,4.233333333333333,1.94,-5.58,-0.85,focused
128,4.266666666666667,1.81,-5.8,-1.75,focused
129,4.3,1.45,-4.61,-1.53,focused
130,4.333333333333333,0.34,-2.52,-1.28,focused
131,4.366666666666666,2.33,-3.57,-1.85,focused
132,4.4,0.46,-4.11,-1.77,focused
133,4.433333333333334,1.98,-5.05,-1.07,focused
134,4.466666666666667,0.27,-5.45,-0.36,focused
135,4.5,0.86,-7.18,0.48,focused
136,4.533333333333333,-0.04,-6.67,1.77,focused
137,4.566666666666666,0.07,-5.99,2.08,focused
138,4.6,1.5,-4.3,2.02,focused
139,4.633333333333334,2.36,-4.22,2.41,focused
140,4.666666666666667,2.52,-2.89,2.28,focused
141,4.7,0.42,-3.15,0.12,focused
142,4.733333333333333,0.04,-3.43,0.98,focused
143,4.766666666666667,-1.95,-3.5,0.31,focused
144,4.8,-4.62,-3.92,-0.28,focused
145,4.833333333333333,-3.69,-5.58,-0.97,focused
146,4.866666666666666,-3.24,-4.46,0.47,focused
147,4.9,-3.91,-5.2,-1.07,focused
148,4.933333333333334,-4.04,-5.61,-0.83,focused
149,4.966666666666667,-1.84,-5.89,-1.54,focused
150,5.0,-1.91,-5.27,-1.81,focused
151,5.033333333333333,-1.8,-4.5,-2.01,focused
152,5.066666666666666,-1.56,-4.06,-1.45,focused
153,5.1,-1.72,-4.26,-0.4,focused
154,5.133333333333334,-2.76,-4.29,-0.09,focused
155,5.166666666666667,-4.95,-4.58,1.06,focused
156,5.2,-2.11,-5.91,1.39,focused
157,5.233333333333333,-1.1,-4.19,2.13,focused
158,5.266666666666667,-1.0,-5.13,0.71,focused
159,5.3,-0.27,-5.24,0.02,focused
160,5.333333333333333,1.39,-4.98,0.21,focused
161,5.366666666666666,0.62,-4.83,0.75,focused
162,5.4,0.39,-7.2,1.0,focused
163,5.433333333333334,1.05,-7.25,1.85,focused
164,5.466666666666667,-0.02,-7.62,3.26,focused
165,5.5,2.53,-7.81,2.58,focused
166,5.533333333333333,1.0,-8.1,1.34,focused
167,5.566666666666666,0.06,-7.55,-0.07,focused
168,5.6,-0.21,-6.96,-0.1,focused
169,5.633333333333334,-0.24,-6.48,-0.21,focused
170,5.666666666666667,-1.65,-6.23,-0.48,focused
171,5.7,-0.25,-6.94,0.2,focused
172,5.733333333333333,-0.05,-6.62,0.24,focused
173,5.766666666666667,-2.12,-7.57,0.41,focused
174,5.8,-0.96,-7.76,0.34,focused
175,5.833333333333333,-3.12,-7.22,-0.45,focused
176,5.866666666666666,-4.52,-6.19,-1.29,focused
177,5.9,-4.24,-5.93,-1.18,focused
178,5.933333333333334,-1.6,-5.63,-0.89,focused
179,5.966666666666667,-0.42,-6.57,-1.75,focused
180,6.0,1.82,-6.65,-0.8,focused
181,6.033333333333333,1.87,-6.63,-0.38,focused
182,6.066666666666666,3.42,-7.08,0.17,focused
183,6.1,2.17,-6.69,-0.41,focused
184,6.133333333333334,1.12,-5.46,0.25,focused
185,6.166666666666667,2.62,-4.82,-0.17,focused
186,6.2,4.43,-5.11,-1.3,focused
187,6.233333333333333,2.25,-6.39,-1.72,focused
188,6.266666666666667,2.68,-5.09,-1.26,focused
189,6.3,2.07,-4.34,-2.76,focused
190,6.333333333333333,0.23,-4.4,-3.45,focused
191,6.366666666666666,0.17,-3.95,-2.48,focused
192,6.4,1.81,-1.47,-2.16,focused
193,6.433333333333334,2.04,-2.75,-2.86,focused
194,6.466666666666667,3.09,-3.76,-1.49,focused
195,6.5,2.38,-3.94,-0.41,focused
196,6.533333333333333,2.27,-4.45,-0.32,focused
197,6.566666666666666,0.66,-6.07,-0.2,focused
198,6.6,1.17,-6.35,0.83,focused
199,6.633333333333334,1.69,-5.59,1.91,focused
200,6.666666666666667,1.4,-6.62,0.65,focused
201,6.7,1.86,-5.93,0.77,focused
202,6.733333333333333,3.11,-6.33,2.01,focused
203,6.766666666666667,2.49,-5.72,1.93,focused
204,6.8,1.61,-5.83,0.33,focused
205,6.833333333333333,2.86,-3.95,2.2,focused
206,6.866666666666666,2.95,-4.65,1.64,focused
207,6.9,2.55,-3.94,0.83,focused
208,6.933333333333334,0.73,-3.09,0.3,focused
209,6.966666666666667,-0.18,-3.83,-0.22,focused
210,7.0,0.17,-4.92,-1.8,focused
211,7.033333333333333,-2.72,-4.81,-0.2,focused
212,7.066666666666666,-2.85,-5.75,-1.01,focused
213,7.1,-1.43,-8.28,-0.95,focused
214,7.133333333333334,-1.24,-7.26,1.16,focused
215,7.166666666666667,-0.93,-7.47,1.27,focused
216,7.2,2.94,-7.23,0.27,focused
217,7.233333333333333,3.17,-6.21,0.33,focused
218,7.266666666666667,2.87,-4.92,0.35,focused
219,7.3,2.56,-5.76,-0.7,focused
220,7.333333333333333,1.18,-4.7,-1.62,focused
221,7.366666666666666,-0.3,-3.99,-2.88,focused
222,7.4,-0.62,-4.33,-3.63,focused
223,7.433333333333334,-0.83,-4.67,-2.56,focused
224,7.466666666666667,0.65,-3.48,-2.19,focused
225,7.5,-0.22,-4.69,-0.31,focused
226,7.533333333333333,-2.54,-5.01,0.79,focused
227,7.566666666666666,-2.57,-4.36,1.9,focused
228,7.6,-2.15,-3.0,0.2,focused
229,7.633333333333334,-2.47,-3.41,-0.42,focused
230,7.666666666666667,-1.02,-3.84,-0.16,focused
231,7.7,0.02,-4.59,0.62,focused
232,7.733333333333333,-0.31,-5.86,-0.58,focused
233,7.766666666666667,0.66,-7.32,1.12,focused
234,7.8,-2.04,-6.66,1.43,focused
235,7.833333333333333,-2.46,-6.24,1.11,focused
236,7.866666666666666,-2.31,-5.26,0.55,focused
237,7.9,-1.46,-4.63,1.45,focused
238,7.933333333333334,-1.76,-4.89,-0.41,focused
239,7.966666666666667,1.07,-5.81,-0.65,focused
240,8.0,1.18,-5.27,-1.21,focused
241,8.033333333333333,0.44,-5.82,-1.86,focused
242,8.066666666666666,0.7,-6.62,-1.21,focused
243,8.1,0.86,-5.44,0.19,focused
244,8.133333333333333,1.79,-4.93,-0.81,focused
245,8.166666666666666,0.49,-5.52,-0.47,focused
246,8.2,1.78,-6.07,0.23,focused
247,8.233333333333333,0.62,-5.42,-1.23,focused
248,8.266666666666667,-0.78,-6.38,-2.41,focused
249,8.3,-1.39,-7.56,0.28,focused
250,8.333333333333334,0.39,-7.07,-0.25,focused
251,8.366666666666667,0.57,-6.98,-0.29,focused
252,8.4,3.88,-6.67,1.24,focused
253,8.433333333333334,4.1,-5.88,2.89,focused
254,8.466666666666667,2.42,-4.23,1.73,focused
255,8.5,1.37,-3.96,2.83,focused
256,8.533333333333333,1.29,-4.55,2.32,focused
257,8.566666666666666,-1.52,-4.54,2.01,focused
258,8.6,-0.64,-5.32,1.17,focused
259,8.633333333333333,0.6,-6.07,1.4,focused
260,8.666666666666666,2.0,-6.18,0.77,focused
261,8.7,-0.29,-4.98,1.33,focused
262,8.733333333333333,0.23,-5.7,0.31,focused
263,8.766666666666667,1.11,-4.92,0.49,focused
264,8.8,0.53,-5.24,0.41,focused
265,8.833333333333334,-0.82,-5.46,0.17,focused
266,8.866666666666667,0.4,-5.9,0.18,focused
267,8.9,-0.35,-4.38,0.29,focused
268,8.933333333333334,-1.59,-4.62,0.75,focused
269,8.966666666666667,-1.42,-4.02,-0.7,focused
270,9.0,-0.64,-3.54,-0.38,focused
271,9.033333333333333,0.86,-3.67,0.34,focused
272,9.066666666666666,3.64,-4.64,0.6,focused
273,9.1,5.28,-3.43,-0.58,focused
274,9.133333333333333,4.66,-4.22,-0.49,focused
275,9.166666666666666,3.48,-5.35,-1.0,focused
276,9.2,2.38,-4.9,-0.92,focused
277,9.233333333333333,-0.92,-4.09,-0.78,focused
278,9.266666666666667,-2.42,-4.64,-1.14,focused
279,9.3,-1.62,-4.37,-0.04,focused
280,9.333333333333334,-0.41,-2.29,0.04,focused
281,9.366666666666667,-0.91,-2.81,-1.22,focused
282,9.4,-0.55,-2.68,-0.24,focused
283,9.433333333333334,-1.07,-3.59,0.71,focused
284,9.466666666666667,-2.0,-3.31,0.54,focused
285,9.5,-3.81,-3.85,2.0,focused
286,9.533333333333333,-3.89,-3.71,2.51,focused
287,9.566666666666666,-2.92,-4.03,2.86,focused
288,9.6,-2.52,-4.01,1.75,focused
289,9.633333333333333,-2.7,-4.41,2.7,focused
290,9.666666666666666,-1.7,-5.2,1.62,focused
291,9.7,0.1,-3.45,1.13,focused
292,9.733333333333333,-0.73,-3.22,0.33,focused
293,9.766666666666667,1.3,-2.39,0.94,focused
294,9.8,2.62,-1.71,0.36,focused
295,9.833333333333334,3.64,-1.2,1.07,focused
296,9.866666666666667,3.84,-2.33,1.29,focused
297,9.9,4.47,-2.23,0.39,focused
298,9.933333333333334,3.0,-2.82,0.62,focused
299,9.966666666666667,3.68,-3.37,0.16,focused
300,10.0,1.82,-3.56,-0.16,focused
301,10.033333333333333,2.6,-4.13,0.07,focused
302,10.066666666666666,2.7,-3.91,0.51,focused
303,10.1,2.61,-3.31,0.6,focused
304,10.133333333333333,0.89,-3.31,1.22,focused
305,10.166666666666666,1.22,-3.68,0.41,focused
306,10.2,0.25,-4.41,-0.06,focused
307,10.233333333333333,0.38,-4.41,-0.04,focused
308,10.266666666666667,-0.46,-3.65,-1.02,focused
309,10.3,-2.21,-3.5,-1.96,focused
310,10.333333333333334,-2.2,-3.16,-1.4,focused
311,10.366666666666667,-3.96,-3.01,-0.54,focused
312,10.4,-3.69,-4.01,0.61,focused
313,10.433333333333334,-4.2,-6.05,1.06,focused
314,10.466666666666667,-2.05,-6.17,1.22,focused
315,10.5,-0.68,-7.35,1.94,focused
316,10.533333333333333,-0.2,-5.91,1.62,focused
317,10.566666666666666,-0.39,-5.51,0.78,focused
318,10.6,1.32,-3.8,1.31,focused
319,10.633333333333333,2.08,-4.0,2.32,focused
320,10.666666666666666,1.05,-2.16,1.43,focused
321,10.7,-0.3,-2.76,0.82,focused
322,10.733333333333333,0.09,-3.49,0.28,focused
323,10.766666666666667,-2.45,-4.56,-1.29,focused
324,10.8,-4.74,-4.05,-1.68,focused
325,10.833333333333334,-3.64,-5.71,-1.69,focused
326,10.866666666666667,-2.21,-6.48,-0.38,focused
327,10.9,-2.17,-6.22,-0.09,focused
328,10.933333333333334,-0.08,-7.18,1.21,focused
329,10.966666666666667,0.83,-8.23,0.57,focused
330,11.0,2.2,-7.27,0.26,focused
331,11.033333333333333,2.77,-5.73,-0.09,focused
332,11.066666666666666,1.96,-5.99,0.31,focused
333,11.1,2.14,-4.23,0.84,focused
334,11.133333333333333,3.87,-3.95,1.8,focused
335,11.166666666666666,2.27,-3.09,1.73,focused
336,11.2,3.44,-3.81,0.79,focused
337,11.233333333333333,2.89,-3.61,0.62,focused
338,11.266666666666667,3.02,-4.49,0.23,focused
339,11.3,4.11,-3.14,-0.3,focused
340,11.333333333333334,3.96,-4.31,0.48,focused
341,11.366666666666667,1.2,-4.58,-0.13,focused
342,11.4,2.08,-4.0,-0.68,focused
343,11.433333333333334,3.13,-4.39,-1.54,focused
344,11.466666666666667,1.21,-4.8,-0.79,focused
345,11.5,0.72,-4.23,-1.18,focused
346,11.533333333333333,1.57,-3.54,0.21,focused
347,11.566666666666666,-0.41,-3.04,1.33,focused
348,11.6,-2.61,-2.07,2.5,focused
349,11.633333333333333,-2.57,-3.03,1.09,focused
350,11.666666666666666,-2.14,-2.97,1.44,focused
351,11.7,-2.34,-3.04,-0.66,focused
352,11.733333333333333,0.39,-4.97,-1.71,focused
353,11.766666666666667,-0.11,-5.98,-1.31,focused
354,11.8,-0.83,-5.45,-0.93,focused
355,11.833333333333334,-0.33,-6.1,-2.03,focused
356,11.866666666666667,1.03,-6.86,-1.25,focused
357,11.9,-0.54,-4.92,-0.53,focused
358,11.933333333333334,0.23,-4.35,-1.41,focused
359,11.966666666666667,2.77,-4.33,-1.13,focused
360,12.0,3.33,-4.23,-0.51,focused
361,12.033333333333333,2.13,-3.98,0.4,focused
362,12.066666666666666,3.29,-4.85,0.33,focused
363,12.1,3.56,-4.59,-0.68,focused
364,12.133333333333333,2.4,-4.61,-0.34,focused
365,12.166666666666666,-1.53,-3.5,-0.27,focused
366,12.2,-0.22,-4.08,0.12,focused
367,12.233333333333333,-2.01,-4.49,0.83,focused
368,12.266666666666667,-2.12,-4.41,2.55,focused
369,12.3,-2.54,-4.52,2.17,focused
370,12.333333333333334,2.76,-5.81,2.38,focused
371,12.366666666666667,2.71,-4.52,2.72,focused
372,12.4,4.4,-4.84,2.55,focused
373,12.433333333333334,3.44,-4.79,1.58,focused
374,12.466666666666667,2.88,-4.68,1.55,focused
375,12.5,0.9,-3.68,1.7,focused
376,12.533333333333333,-0.39,-3.76,1.71,focused
377,12.566666666666666,-2.26,-2.72,1.15,focused
378,12.6,-1.41,-2.07,1.51,focused
379,12.633333333333333,-1.22,-2.37,1.33,focused
380,12.666666666666666,-2.74,-4.21,2.01,focused
381,12.7,-3.34,-5.38,0.0,focused
382,12.733333333333333,-2.75,-6.53,0.57,focused
383,12.766666666666667,-1.45,-7.77,2.01,focused
384,12.8,-0.59,-7.86,0.5,focused
385,12.833333333333334,2.8,-7.83,-1.44,focused
386,12.866666666666667,4.67,-5.77,0.68,focused
387,12.9,5.87,-4.62,0.21,focused
388,12.933333333333334,5.62,-4.04,-1.08,focused
389,12.966666666666667,4.57,-4.3,0.25,focused
390,13.0,0.59,-3.52,0.64,focused
391,13.033333333333333,-1.54,-4.88,0.65,focused
392,13.066666666666666,-1.18,-6.18,-0.46,focused
393,13.1,-1.0,-6.94,-0.65,focused
394,13.133333333333333,-0.39,-7.06,-0.42,focused
395,13.166666666666666,-0.03,-7.37,0.36,focused
396,13.2,-0.52,-7.21,-0.49,focused
397,13.233333333333333,-0.88,-6.13,0.93,focused
398,13.266666666666667,-1.7,-5.8,1.14,focused
399,13.3,-1.71,-5.19,1.1,focused
400,13.333333333333334,-1.07,-5.23,0.06,focused
401,13.366666666666667,2.27,-6.24,-0.34,focused
402,13.4,1.0,-5.84,-1.34,focused
403,13.433333333333334,2.12,-5.98,-1.24,focused
404,13.466666666666667,0.74,-4.72,-1.98,focused
405,13.5,1.75,-3.95,-0.89,focused
406,13.533333333333333,-0.18,-3.28,-0.45,focused
407,13.566666666666666,0.39,-3.24,1.06,focused
408,13.6,-1.42,-3.65,0.84,focused
409,13.633333333333333,2.0,-5.42,2.53,focused
410,13.666666666666666,3.37,-6.14,2.62,focused
411,13.7,5.18,-6.29,2.48,focused
412,13.733333333333333,4.75,-7.47,0.76,focused
413,13.766666666666667,4.08,-6.63,0.35,focused
414,13.8,1.73,-7.08,-0.43,focused
415,13.833333333333334,0.89,-7.95,-0.55,focused
416,13.866666666666667,0.49,-8.44,0.57,focused
417,13.9,1.49,-8.26,0.93,focused
418,13.933333333333334,3.27,-8.23,1.72,focused
419,13.966666666666667,2.12,-7.2,0.67,focused
420,14.0,1.17,-6.54,0.0,focused
421,14.033333333333333,1.18,-5.16,-0.63,focused
422,14.066666666666666,-0.33,-4.93,0.13,focused
423,14.1,-0.75,-3.58,0.04,focused
424,14.133333333333333,0.37,-3.87,0.97,focused
425,14.166666666666666,0.33,-2.9,1.98,focused
426,14.2,-1.7,-4.36,0.52,focused
427,14.233333333333333,-0.1,-4.83,-1.5,focused
428,14.266666666666667,0.15,-4.73,-1.74,focused
429,14.3,0.8,-4.49,-1.88,focused
430,14.333333333333334,1.87,-5.09,-2.3,focused
431,14.366666666666667,2.98,-4.69,-0.6,focused
432,14.4,2.29,-4.48,1.01,focused
433,14.433333333333334,1.01,-5.96,1.01,focused
434,14.466666666666667,1.25,-5.73,1.06,focused
435,14.5,1.15,-4.72,1.23,focused
436,14.533333333333333,0.84,-5.1,-0.0,focused
437,14.566666666666666,0.71,-5.02,-0.44,focused
438,14.6,1.67,-4.72,-0.47,focused
439,14.633333333333333,1.07,-4.96,-1.64,focused
440,14.666666666666666,-0.69,-5.88,-2.7,focused
441,14.7,-0.1,-4.18,-1.33,focused
442,14.733333333333333,-0.01,-2.92,-1.13,focused
443,14.766666666666667,-0.4,-3.6,-1.27,focused
444,14.8,-1.28,-3.54,0.01,focused
445,14.833333333333334,-0.34,-3.19,1.45,focused
446,14.866666666666667,0.01,-5.0,-0.81,focused
447,14.9,1.16,-6.71,-1.04,focused
448,14.933333333333334,-2.2,-6.07,-0.53,focused
449,14.966666666666667,-4.36,-5.4,-2.18,focused
450,15.0,-7.69,-4.51,-3.78,focused
451,15.033333333333333,-11.53,-2.62,-1.9,focused
452,15.066666666666666,-15.39,-1.19,-1.05,focused
453,15.1,-14.79,-0.48,-1.94,focused
454,15.133333333333333,-15.51,-0.6,-0.49,focused
455,15.166666666666666,-14.15,-1.31,-0.57,focused
456,15.2,-13.38,-1.39,-1.32,focused
457,15.233333333333333,-12.83,-1.24,-0.94,focused
458,15.266666666666667,-12.33,-1.42,0.92,focused
459,15.3,-12.42,-0.77,1.2,focused
460,15.333333333333334,-12.67,0.4,2.19,focused
461,15.366666666666667,-14.0,0.67,2.18,focused
462,15.4,-13.42,0.96,0.87,focused
463,15.433333333333334,-13.72,0.62,-1.01,focused
464,15.466666666666667,-12.63,0.06,-1.82,focused
465,15.5,-13.09,-0.09,-1.41,focused
466,15.533333333333333,-12.04,-0.58,-1.85,focused
467,15.566666666666666,-12.35,-0.76,-1.78,focused
468,15.6,-11.66,0.0,-0.93,focused
469,15.633333333333333,-11.08,0.01,0.26,focused
470,15.666666666666666,-11.37,-0.36,0.74,focused
471,15.7,-11.66,0.16,2.24,focused
472,15.733333333333333,-12.78,-0.05,1.76,focused
473,15.766666666666667,-14.76,0.55,0.83,focused
474,15.8,-16.19,0.7,0.46,focused
475,15.833333333333334,-15.74,0.94,-0.81,focused
476,15.866666666666667,-16.14,0.83,-1.6,focused
477,15.9,-14.96,1.37,-0.54,focused
478,15.933333333333334,-13.38,1.01,0.23,focused
479,15.966666666666667,-14.03,1.28,-0.34,focused
480,16.0,-14.83,1.17,0.75,focused
481,16.033333333333335,-14.72,1.18,1.92,focused
482,16.066666666666666,-15.54,2.03,1.82,focused
483,16.1,-16.99,1.86,1.94,focused
484,16.133333333333333,-15.44,1.97,2.25,focused
485,16.166666666666668,-15.86,1.65,1.0,focused
486,16.2,-16.22,1.76,0.98,focused
487,16.233333333333334,-16.13,0.24,0.9,focused
488,16.266666666666666,-14.35,-0.3,0.59,focused
489,16.3,-15.12,-0.88,1.07,focused
490,16.333333333333332,-14.46,-0.63,1.04,focused
491,16.366666666666667,-14.37,-0.58,-0.18,focused
492,16.4,-13.57,-0.26,-0.31,focused
493,16.433333333333334,-13.73,-0.58,-1.29,focused
494,16.466666666666665,-14.65,0.23,-2.01,focused
495,16.5,-13.05,-0.16,-1.37,focused
496,16.533333333333335,-11.86,0.35,0.09,focused
497,16.566666666666666,-12.17,0.92,0.32,focused
498,16.6,-12.26,1.27,0.88,focused
499,16.633333333333333,-11.35,0.7,0.94,focused
500,16.666666666666668,-12.47,1.31,0.88,focused
501,16.7,-12.51,0.05,-0.47,focused
502,16.733333333333334,-13.66,-1.11,-0.88,focused
503,16.766666666666666,-14.2,-0.28,-0.01,focused
504,16.8,-14.81,0.53,1.0,focused
505,16.833333333333332,-14.88,0.05,0.37,focused
506,16.866666666666667,-15.99,0.95,1.62,focused
507,16.9,-14.64,1.5,0.99,focused
508,16.933333333333334,-21.34,0.12,0.81,focused
509,16.966666666666665,-27.96,-0.09,-0.88,focused
510,17.0,-34.49,0.47,-1.01,distracted
511,17.033333333333335,-45.86,1.01,-1.07,distracted
512,17.066666666666666,-51.13,1.75,-0.76,distracted
513,17.1,-50.6,2.52,-0.78,distracted
514,17.133333333333333,-49.14,4.21,0.12,distracted
515,17.166666666666668,-50.29,3.87,0.33,distracted
516,17.2,-46.05,4.26,-0.19,distracted
517,17.233333333333334,-50.0,6.21,0.01,distracted
518,17.266666666666666,-50.78,6.46,-1.63,distracted
519,17.3,-50.59,5.97,-1.73,distracted
520,17.333333333333332,-50.16,7.37,-2.18,distracted
521,17.366666666666667,-50.64,7.79,-3.48,distracted
522,17.4,-48.89,4.94,-3.03,distracted
523,17.433333333333334,-48.91,4.08,-0.88,distracted
524,17.466666666666665,-51.5,2.53,-0.59,distracted
525,17.5,-49.77,1.0,0.38,distracted
526,17.533333333333335,-48.24,0.9,1.24,distracted
527,17.566666666666666,-49.3,1.42,1.01,distracted
528,17.6,-50.95,0.12,0.58,distracted
529,17.633333333333333,-48.33,-1.43,-0.15,distracted
530,17.666666666666668,-49.18,1.64,-0.17,distracted
531,17.7,-51.03,0.76,0.55,distracted
532,17.733333333333334,-51.48,0.79,0.2,distracted
533,17.766666666666666,-51.29,3.84,0.92,distracted
534,17.8,-52.22,5.95,1.35,distracted
535,17.833333333333332,-55.71,4.77,1.29,distracted
536,17.866666666666667,-54.83,8.15,0.64,distracted
537,17.9,-55.0,8.52,1.62,distracted
538,17.933333333333334,-53.29,6.96,1.2,distracted
539,17.966666666666665,-54.88,9.08,2.02,distracted
540,18.0,-53.1,9.48,2.11,distracted
541,18.033333333333335,-51.44,6.77,1.42,distracted
542,18.066666666666666,-51.27,8.23,0.53,distracted
